,host_total_listings_count,room_type_1,room_type_2,room_type_3,room_type_4,room_type_-1,accommodates,bathrooms,bedrooms,bed_type_1,bed_type_2,bed_type_3,bed_type_4,price,guests_included,minimum_nights,maximum_nights,availability_365,number_of_reviews
3925,1.0,1,0,0,0,0,2,1.0,0.0,1,0,0,0,500,2,1,1125,0,0
879,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,350,2,3,1125,0,0
5634,2.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,95,2,7,1124,236,48
6611,4.0,0,0,0,1,0,2,1.0,0.0,1,0,0,0,40,2,5,1125,332,14
972,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,115,1,2,7,330,11
915,1.0,1,0,0,0,0,4,3.0,2.0,1,0,0,0,500,1,2,1125,87,0
6801,5.0,1,0,0,0,0,6,3.0,3.0,1,0,0,0,175,4,2,1125,126,49
6935,6.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,100,2,1,1125,91,1
3497,1.0,1,0,0,0,0,1,1.0,1.0,1,0,0,0,115,1,1,7,0,0
1404,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,115,2,1,1125,0,2
7535,17.0,1,0,0,0,0,4,1.0,0.0,1,0,0,0,66,1,1,1125,320,12
3280,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,75,1,1,5,0,2
7895,44.0,1,0,0,0,0,8,2.0,4.0,1,0,0,0,300,8,1,365,297,57
2850,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,74,2,2,1125,282,100
2600,1.0,0,0,0,1,0,3,1.0,1.0,1,0,0,0,130,1,2,3,0,2
6487,4.0,1,0,0,0,0,6,1.0,3.0,1,0,0,0,200,1,2,31,0,2
7045,7.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,90,1,30,90,1,2
1029,1.0,0,0,0,1,0,4,2.0,1.0,1,0,0,0,65,2,1,1125,107,11
4231,1.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,119,2,2,1125,47,320
4762,2.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,70,2,1,1125,53,18
4132,1.0,0,0,0,1,0,4,1.0,0.0,1,0,0,0,50,2,2,28,60,50
6534,4.0,0,0,0,1,0,4,1.0,1.0,1,0,0,0,100,1,1,1125,356,11
8506,1.0,1,0,0,0,0,4,1.0,2.0,1,0,0,0,114,4,1,1125,53,0
397,1.0,1,0,0,0,0,6,2.0,3.0,1,0,0,0,110,1,1,1125,39,8
7472,14.0,1,0,0,0,0,4,2.0,2.0,1,0,0,0,208,1,1,548,94,18
3481,1.0,1,0,0,0,0,8,2.0,4.0,1,0,0,0,549,6,1,1125,339,21
4105,1.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,99,4,2,1125,0,3
4366,1.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,200,1,2,3,10,0
8257,144.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,103,2,2,1125,323,14
7256,9.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,75,2,2,90,335,273
8705,1.0,1,0,0,0,0,10,3.0,3.0,1,0,0,0,375,1,2,1125,76,0
1190,1.0,0,0,0,1,0,3,1.0,2.0,1,0,0,0,95,2,2,15,297,105
8677,1.0,0,0,0,1,0,1,1.0,1.0,1,0,0,0,40,1,1,1125,68,3
3092,1.0,1,0,0,0,0,5,1.0,2.0,1,0,0,0,225,5,2,1125,57,129
7339,11.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,124,2,2,365,135,21
2887,1.0,1,0,0,0,0,8,3.0,3.0,1,0,0,0,400,4,2,1125,142,36
8583,1.0,0,0,0,1,0,4,1.0,1.0,1,0,0,0,50,1,1,7,12,11
7944,51.0,0,0,1,0,0,16,2.0,2.0,1,0,0,0,489,16,1,1125,364,1
3962,1.0,1,0,0,0,0,4,1.0,2.0,1,0,0,0,550,1,2,31,255,19
389,1.0,1,0,0,0,0,2,2.0,1.0,1,0,0,0,120,2,2,14,302,208
3329,1.0,1,0,0,0,0,3,1.0,1.0,1,0,0,0,200,1,2,1125,0,2
